ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,559,8,BSL,BSL-EQ,EQ,BSL-EQ,1100100000559,41.35,33.85,336553,0.05,1
NSECM,2283,8,MRPL,MRPL-EQ,EQ,MRPL-EQ,1100100002283,48.1,32.1,2492195,0.05,1
NSECM,6951,8,LINCPEN,LINCPEN-EQ,EQ,LINCPEN-EQ,1100100006951,192,128,486323,0.05,1
NSECM,17032,8,THYROCARE,THYROCARE-EQ,EQ,THYROCARE-EQ,1100100017032,1041.2,694.2,115213,0.05,1
NSECM,6994,8,BSOFT,BSOFT-EQ,EQ,BSOFT-EQ,1100100006994,296,197.4,405142,0.05,1
NSECM,4717,8,GAIL,GAIL-EQ,EQ,GAIL-EQ,1100100004717,157.9,129.2,694561,0.05,1
NSECM,15355,8,RECLTD,RECLTD-EQ,EQ,RECLTD-EQ,1100100015355,167.95,137.45,653697,0.05,1
NSECM,2289,8,HLEGLAS,HLEGLAS-EQ,EQ,HLEGLAS-EQ,1100100002289,2833.15,2563.35,37055,0.05,1
NSECM,15124,8,KOLTEPATIL,KOLTEPATIL-EQ,EQ,KOLTEPATIL-EQ,1100100015124,293.25,195.55,409131,0.05,1
NSECM,6429,8,RSSOFTWARE,RSSOFTWARE-EQ,EQ,RSSOFTWARE-EQ,1100100006429,28.4,25.7,840661,0.05,1
NSECM,3411,8,TATAELXSI,TATAELXSI-EQ,EQ,TATAELXSI-EQ,1100100003411,3259.7,2173.2,36805,0.05,1
NSECM,10579,8,MARKSANS,MARKSANS-EQ,EQ,MARKSANS-EQ,1100100010579,69.1,46.1,1735899,0.05,1
NSECM,22360,8,MCL,MCL-EQ,EQ,MCL-EQ,1100100022360,99.3,81.3,887569,0.05,1
NSECM,11058,8,SECURKLOUD,SECURKLOUD-EQ,EQ,SECURKLOUD-EQ,1100100011058,89.15,80.75,997925,0.05,1
NSECM,20825,8,HUDCO,HUDCO-EQ,EQ,HUDCO-EQ,1100100020825,60,40,1999898,0.05,1
NSECM,19061,8,MANAPPURAM,MANAPPURAM-EQ,EQ,MANAPPURAM-EQ,1100100019061,176.4,144.4,622788,0.05,1
NSECM,25897,8,MINDACORP,MINDACORP-EQ,EQ,MINDACORP-EQ,1100100025897,118.85,79.25,1009393,0.05,1
